GROUP 1,T1,T2,,T3,T4,,
P1,0.333333333,0.7,,0.333333333,0.266666667,,
P5,0.633333333,0.5,,1,0.833333333,,
P9,0.166666667,0.1,,0.366666667,0.266666667,,
P10,0.466666667,0.8,,0.866666667,0.666666667,,
P12,0.5,0.433333333,,0.5,0.6,,
P14,0.033333333,0,,0.033333333,0.1,,
P16,0.733333333,0.533333333,,0.666666667,0.033333333,,
P18,0.266666667,0.4,,0.333333333,0.3,,
P22,0,0.033333333,,0,0,,
P23,0.8,0.933333333,,0.9,0.966666667,,
MEAN,0.393333333,0.443333333,,0.5,0.403333333,,
SD,0.26658332,0.304795013,,0.3336665,0.32401989,,
GROUP 2,T1,,T2,T3,,T4,T5
P3,0.3,,0.333333333,0.266666667,,0.5,0.633333333
P4,0.466666667,,0.033333333,0.066666667,,0.166666667,0.166666667
P6,0.466666667,,0.166666667,0.233333333,,0.166666667,0.233333333
P7,0.066666667,,0,0.1,,0.166666667,0.066666667
P11,0.133333333,,0.1,0.266666667,,0.366666667,0.266666667
P13,0.333333333,,0.1,0.733333333,,0.6,0.866666667
P15,0.066666667,,0.066666667,0,,0.033333333,0.066666667
P17,0.6,,0.5,0.7,,,
P19,0.033333333,,0,0.033333333,,0.2,0.233333333
P20,0,,0.033333333,0.1,,0,0
P21,0.4,,0.466666667,0.6,,0.333333333,0.766666667
MEAN,0.260606061,,0.163636364,0.281818182,,0.253333333,0.33
SD,0.199402229,,0.175496148,0.258731809,,0.18390819,0.294561821